"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"1",10001,1,"No","01","Alabama","No",70
"2",10002,1,"No","02","Tennessee","Yes, Exceeded Speed Limit",70
"3",10003,1,"No","01","Alabama","No",55
"4",10003,2,"No","01","Alabama","No",55
"5",10004,1,"No","02","Georgia","Reported as Unknown",70
"6",10005,1,"No","01","Georgia","No",70
"7",10005,2,"No","01","Georgia","No",70
"8",10006,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"9",10007,1,"No","01","Alabama","No",65
"10",10008,1,"No","01","Alabama","No",70
"11",10008,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",70
"12",10009,1,"No","01","Alabama","Yes, Too Fast for Conditions",65
"13",10010,1,"No","01","Alabama","No",55
"14",10011,1,"No","01","Alabama","No",70
"15",10011,2,"No","01","Alabama","No",70
"16",10011,3,"No","02","Georgia","No",70
"17",10012,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"18",10013,1,"No","02","Alabama","No",25
"19",10013,2,"No","01","Alabama","No",55
"20",10013,3,"No","01","Alabama","No",55
"21",10014,1,"No","01","Alabama","No",55
"22",10014,2,"No","01","Alabama","No",55
"23",10015,1,"No","02","Alabama","No",35
"24",10016,1,"No","02","Alabama","No",45
"25",10017,1,"No","01","Alabama","No",55
"26",10018,1,"No","02","Alabama","No",25
"27",10018,2,"No","01","Alabama","No",45
"28",10019,1,"No","02","Alabama","Reported as Unknown",35
"29",10020,1,"No","01","Alabama","No",45
"30",10020,2,"No","01","Tennessee","No",65
"31",10021,1,"No","01","Alabama","Reported as Unknown",45
"32",10021,2,"No","04","Alabama","No",45
"33",10022,1,"No","03","Alabama","No",55
"34",10022,2,"No","01","Alabama","No",55
"35",10023,1,"No","01","Alabama","No",45
"36",10023,2,"No","01","Alabama","No",60
"37",10024,1,"No","01","Alabama","No",40
"38",10024,2,"No","04","Alabama","No",40
"39",10025,1,"No","01","Alabama","No",50
