"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"1",10001,1,"No","02","Georgia","Yes, Exceeded Speed Limit",70
"2",10001,2,"No","01","Georgia","No",70
"3",10002,1,"No","01","Alabama","Yes, Too Fast for Conditions",65
"4",10002,2,"No","01","Alabama","No",65
"5",10003,1,"No","02","Alabama","Yes, Exceeded Speed Limit",70
"6",10003,2,"No","01","Texas","No",70
"7",10003,3,"No","01","Alabama","No",70
"8",10004,1,"No","01","Virginia","No",70
"9",10005,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"10",10006,1,"No","01","Florida","No",70
"11",10006,2,"No","01","Alabama","No",70
"12",10007,1,"No","05","Louisiana","No",70
"13",10008,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"14",10009,1,"No","01","Alabama","Reported as Unknown",25
"15",10010,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",25
"16",10011,1,"No","03","Alabama","Yes, Too Fast for Conditions",55
"17",10012,1,"No","01","Alabama","No",25
"18",10013,1,"No","01","Alabama","No",55
"19",10014,1,"No","01","Florida","No",65
"20",10015,1,"No","01","Alabama","No",45
"21",10015,2,"No","01","Alabama","No",45
"22",10016,1,"No","01","Alabama","No",0
"23",10016,2,"No","01","Alabama","No",55
"24",10016,3,"No","01","Alabama","No",55
"25",10017,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"26",10017,2,"No","01","Alabama","No",45
"27",10018,1,"No","01","Alabama","No",45
"28",10019,1,"No","01","Alabama","No",98
"29",10020,1,"No","01","Alabama","No",55
"30",10021,1,"No","01","Alabama","No",55
"31",10021,2,"No","01","Alabama","No",55
"32",10022,1,"No","01","Mississippi","Yes, Exceeded Speed Limit",55
"33",10023,1,"No","01","Alabama","No",45
"34",10023,2,"No","02","Alabama","No",65
"35",10024,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"36",10025,1,"No","01","Alabama","Reported as Unknown",35
"37",10025,2,"No","01","Alabama","No",35
"38",10025,3,"No","01","Alabama","No",35
"39",10026,1,"No","01","Alabama","No",45
"40",10027,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"41",10028,1,"No","01","Tennessee","No",55
"42",10028,2,"No","01","Alabama","No",45
"43",10028,3,"No","01","Alabama","No",45
"44",10028,4,"No","01","Pennsylvania","No",55
"45",10029,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"46",10030,1,"No","01","Alabama","Reported as Unknown",45
"47",10031,1,"No","01","Alabama","No",55
"48",10031,2,"No","01","Alabama","No",55
"49",10032,1,"No","01","Alabama","No",55
"50",10033,1,"No","01","Alabama","No",45
"51",10033,2,"No","03","Alabama","No",45
"52",10034,1,"No","01","Alabama","No",55
"53",10034,2,"No","01","Alabama","No",55
"54",10035,1,"No","01","Alabama","No",30
"55",10036,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"56",10037,1,"No","01","Alabama","No",45
"57",10038,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"58",10039,1,"No","01","Alabama","No",30
"59",10040,1,"No","01","Florida","No",45
"60",10041,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"61",10042,1,"No","01","Georgia","No",55
"62",10042,2,"No","02","Alabama","No",55
"63",10043,1,"No","05","Alabama","No",35
"64",10043,2,"No","02","Alabama","No",35
"65",10044,1,"No","01","Alabama","No",55
"66",10044,2,"No","01","Georgia","No",55
"67",10045,1,"No","01","Alabama","No",50
"68",10045,2,"No","01","Alabama","No",50
"69",10046,1,"No","01","Alabama","No",45
"70",10047,1,"No","01","Alabama","No",55
"71",10047,2,"No","01","Alabama","No",55
"72",10048,1,"No","01","Alabama","Reported as Unknown",45
"73",10049,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"74",10050,1,"No","02","Alabama","No",45
"75",10050,2,"No","01","Alabama","No",50
"76",10051,1,"No","01","Mississippi","No",45
"77",10051,2,"Yes","Unknown","Reported as Unknown","Reported as Unknown",45
"78",10052,1,"No","03","Tennessee","No",45
"79",10052,2,"No","01","Alabama","No",45
"80",10053,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"81",10054,1,"No","02","Georgia","No",55
"82",10055,1,"No","02","Alabama","No",55
"83",10055,2,"No","01","Texas","No",55
"84",10056,1,"No","02","Alabama","No",30
"85",10056,2,"No","01","Florida","No",55
"86",10057,1,"No","01","Alabama","No",35
"87",10058,1,"No","03","Alabama","Reported as Unknown",25
"88",10059,1,"No","01","Alabama","No",55
"89",10059,2,"No","01","Alabama","No",55
"90",10059,3,"No","01","Alabama","No",55
"91",10060,1,"No","01","Alabama","No",55
"92",10060,2,"No","01","Alabama","No",55
"93",10061,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"94",10062,1,"No","01","Alabama","Reported as Unknown",40
"95",10062,2,"No","01","Alabama","No",40
"96",10063,1,"No","01","Florida","Yes, Exceeded Speed Limit",55
"97",10064,1,"No","01","Alabama","No",50
"98",10065,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"99",10066,1,"No","01","Alabama","No",45
"100",10066,2,"No","01","Alabama","No",60
"101",10067,1,"No","01","Alabama","No",65
"102",10068,1,"No","01","Alabama","No",50
"103",10068,2,"No","01","Alabama","No",20
"104",10068,3,"No","02","Florida","No",50
"105",10068,4,"No","02","Florida","No",50
"106",10069,1,"No","01","Alabama","No",55
"107",10069,2,"No","02","Alabama","No",55
"108",10070,1,"No","01","Mississippi","No",55
"109",10071,1,"No","02","Alabama","No",70
"110",10072,1,"No","02","Alabama","No",70
"111",10073,1,"No","01","Alabama","No",70
"112",10074,1,"No","01","Alabama","No",70
"113",10074,2,"No","01","Alabama","No",70
"114",10075,1,"No","01","Alabama","No",55
"115",10076,1,"No","01","Alabama","No",40
"116",10076,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",40
"117",10077,1,"No","01","Alabama","No",30
"118",10078,1,"No","01","Mexico","No",55
"119",10078,2,"No","01","Alabama","No",55
"120",10079,1,"No","01","Alabama","No",55
"121",10080,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"122",10081,1,"No","02","Alabama","No",55
"123",10081,2,"No","04","Alabama","No",55
"124",10082,1,"No","01","Alabama","No",55
"125",10082,2,"Yes","Unknown","Reported as Unknown","Reported as Unknown",55
"126",10083,1,"No","01","Alabama","No",50
"127",10083,2,"No","01","Alabama","No",50
"128",10084,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"129",10084,2,"No","01","Alabama","No",55
"130",10085,1,"No","01","Alabama","No",55
"131",10086,1,"No","01","Alabama","No",55
"132",10086,2,"No","01","Alabama","No",55
"133",10087,1,"No","01","Alabama","Reported as Unknown",25
"134",10089,1,"No","02","Alabama","No",55
"135",10089,2,"No","02","Alabama","No",55
"136",10089,3,"No","03","Alabama","No",55
"137",10090,1,"No","05","Alabama","No",55
"138",10090,2,"No","01","Alabama","No",55
"139",10091,1,"No","01","Alabama","No",55
"140",10092,1,"No","01","Alabama","No",55
"141",10093,1,"No","01","Alabama","Reported as Unknown",35
"142",10094,1,"No","01","Alabama","No",45
"143",10095,1,"No","01","Alabama","No",55
"144",10096,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"145",10096,2,"No","02","Alabama","No",55
"146",10097,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"147",10098,1,"No","01","Alabama","No",45
"148",10098,2,"No","02","Alabama","No",45
"149",10099,1,"No","01","Alabama","No",30
"150",10099,2,"No","04","Alabama","No",0
"151",10100,1,"No","01","Alabama","Reported as Unknown",35
"152",10100,2,"No","01","Alabama","No",55
"153",10101,1,"No","03","Alabama","No",45
"154",10101,2,"No","01","Alabama","No",45
"155",10102,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",55
"156",10103,1,"No","03","Alabama","No",65
"157",10104,1,"No","01","Alabama","Reported as Unknown",45
"158",10105,1,"No","01","Alabama","No",40
"159",10106,1,"No","01","Alabama","No",55
"160",10107,1,"No","01","Alabama","No",45
"161",10108,1,"No","01","Alabama","No",35
"162",10108,2,"No","01","Alabama","No",65
"163",10109,1,"No","01","Georgia","No",65
"164",10110,1,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",65
"165",10110,2,"No","03","Alabama","No",65
"166",10111,1,"No","01","Alabama","No",55
"167",10111,2,"No","01","Alabama","No",55
"168",10112,1,"No","01","Alabama","No",55
"169",10112,2,"No","01","Mississippi","No",55
"170",10112,3,"No","01","Mississippi","No",55
"171",10113,1,"No","01","Alabama","No",45
"172",10113,2,"No","01","Alabama","No",45
"173",10114,1,"No","01","Alabama","No",45
"174",10115,1,"No","02","Alabama","No",50
"175",10115,2,"No","01","Alabama","No",50
"176",10116,1,"No","01","Alabama","No",45
"177",10117,1,"No","03","Alabama","Yes, Exceeded Speed Limit",55
"178",10118,1,"No","01","Alabama","No",45
"179",10119,1,"No","01","Alabama","No",35
"180",10120,1,"No","01","Alabama","No",55
"181",10120,2,"No","01","Alabama","No",55
"182",10121,1,"No","02","Alabama","No",35
"183",10121,2,"No","01","Alabama","No",35
"184",10122,1,"No","01","Alabama","No",40
"185",10123,1,"No","03","Alabama","No",55
"186",10124,1,"No","02","Alabama","Yes, Exceeded Speed Limit",70
"187",10124,2,"No","01","Georgia","No",70
"188",10125,1,"No","06","Mississippi","No",70
"189",10126,1,"No","01","Alabama","No",70
"190",10127,1,"No","01","Alabama","Reported as Unknown",55
"191",10128,1,"No","01","Alabama","No",70
"192",10129,1,"No","02","Mississippi","No",70
"193",10130,1,"No","01","Michigan","No",65
"194",10131,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",70
"195",10131,2,"No","02","Texas","No",70
"196",10132,1,"No","01","South Carolina","No",70
"197",10132,2,"No","01","Louisiana","No",70
"198",10133,1,"No","01","Alabama","Reported as Unknown",45
"199",10133,2,"No","01","Alabama","No",45
"200",10134,1,"No","01","Alabama","No",70
"201",10135,1,"No","01","Alabama","No",65
"202",10136,1,"No","01","Tennessee","No",55
"203",10136,2,"No","01","Alabama","No",35
"204",10137,1,"No","01","Alabama","No",55
"205",10137,2,"No","02","Alabama","No",55
"206",10138,1,"No","01","Alabama","No",55
"207",10139,1,"Yes","01","Alabama","No",55
"208",10139,2,"No","01","Alabama","No",55
"209",10140,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"210",10140,2,"No","02","Alabama","No",45
"211",10141,1,"No","01","Alabama","No",55
"212",10141,2,"No","01","Alabama","No",55
"213",10142,1,"No","02","Alabama","No",50
"214",10142,2,"No","01","Alabama","No",50
"215",10143,1,"No","01","Alabama","No",55
"216",10143,2,"No","01","Alabama","No",55
"217",10144,1,"No","02","Alabama","Reported as Unknown",35
"218",10145,1,"No","01","Alabama","No",45
"219",10145,2,"No","01","Alabama","No",65
"220",10146,1,"No","01","Alabama","No",0
"221",10146,2,"No","03","Tennessee","No",55
"222",10147,1,"No","01","Alabama","No",45
"223",10147,2,"No","02","Florida","No",25
"224",10148,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"225",10149,1,"No","01","Alabama","No",45
