"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"1",10001,1,"No","02","Florida","No",70
"2",10001,2,"No","01","Georgia","No",70
"3",10002,1,"No","02","Alabama","Yes, Too Fast for Conditions",70
"4",10003,1,"No","01","Alabama","No",70
"5",10004,1,"No","01","Florida","No",70
"6",10005,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"7",10005,2,"No","03","Alabama","No",70
"8",10006,1,"No","01","Alabama","No",70
"9",10006,2,"No","01","Alabama","No",70
"10",10006,3,"No","01","Alabama","No",70
"11",10007,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"12",10008,1,"No","01","Alabama","No",55
"13",10008,2,"No","01","Alabama","No",55
"14",10009,1,"No","02","Alabama","Reported as Unknown",70
"15",10010,1,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",70
"16",10010,2,"No","02","Alabama","No",70
"17",10010,3,"No","01","Alabama","No",70
"18",10011,1,"No","02","Alabama","No",70
"19",10012,1,"No","01","Alabama","No",70
"20",10012,2,"No","03","Alabama","No",70
"21",10013,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"22",10013,2,"No","01","Alabama","No",65
"23",10014,1,"No","02","Alabama","No",45
"24",10015,1,"No","01","Alabama","No",98
"25",10016,1,"No","01","Alabama","No",35
"26",10017,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"27",10018,1,"No","02","Georgia","No",50
"28",10019,1,"No","01","Alabama","No",55
"29",10020,1,"No","01","Alabama","No",45
"30",10021,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"31",10022,1,"No","01","Alabama","No",45
"32",10023,1,"No","02","Alabama","No",45
"33",10024,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"34",10025,1,"No","01","Alabama","No",30
"35",10025,2,"No","01","Alabama","No",45
"36",10026,1,"No","02","Alabama","No",55
"37",10026,2,"No","02","Alabama","No",55
"38",10027,1,"No","02","Alabama","No",55
"39",10027,2,"No","02","Alabama","No",55
"40",10027,3,"No","01","Alabama","No",45
"41",10028,1,"No","01","Alabama","No",35
"42",10028,2,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"43",10029,1,"No","01","Alabama","No",55
"44",10030,1,"No","02","Alabama","No",45
"45",10030,2,"No","01","Alabama","No",65
"46",10031,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"47",10032,1,"No","02","Alabama","No",40
"48",10032,2,"No","02","Alabama","No",40
"49",10033,1,"No","01","Alabama","Yes, Too Fast for Conditions",50
"50",10034,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"51",10035,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"52",10036,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"53",10037,1,"No","01","Alabama","No",55
"54",10037,2,"No","02","Alabama","No",55
"55",10038,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"56",10039,1,"No","03","South Carolina","No",55
"57",10039,2,"No","01","Alabama","No",55
"58",10040,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"59",10041,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"60",10042,1,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",45
"61",10042,2,"No","02","Alabama","No",45
"62",10043,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"63",10043,2,"No","01","Alabama","No",30
"64",10044,1,"No","01","Alabama","No",45
"65",10045,1,"No","01","Alabama","No",40
"66",10046,1,"No","01","Alabama","No",45
"67",10046,2,"No","01","Alabama","No",65
"68",10047,1,"No","01","Alabama","No",45
"69",10048,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"70",10049,1,"No","01","Alabama","No",40
"71",10050,1,"No","01","Alabama","No",50
"72",10051,1,"No","04","Alabama","Yes, Exceeded Speed Limit",35
"73",10051,2,"No","03","Alabama","No",35
"74",10051,3,"No","01","Alabama","No",35
"75",10053,1,"No","01","Alabama","Reported as Unknown",45
"76",10053,2,"No","01","Alabama","No",45
"77",10054,1,"No","02","Alabama","No",55
"78",10055,1,"No","02","Alabama","No",55
"79",10055,2,"No","01","Alabama","No",55
"80",10056,1,"No","01","Alabama","No",35
"81",10057,1,"No","01","Alabama","No",25
"82",10057,2,"No","02","Alabama","No",25
"83",10058,1,"No","02","Alabama","No",40
"84",10058,2,"No","01","Alabama","No",45
"85",10059,1,"No","01","Alabama","No",30
"86",10059,2,"No","04","Alabama","No",45
"87",10060,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"88",10061,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"89",10062,1,"No","02","Alabama","No",55
"90",10063,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"91",10063,2,"No","02","Alabama","No",45
"92",10063,3,"No","02","Alabama","No",45
"93",10064,1,"No","01","Alabama","No",45
"94",10065,1,"No","01","Alabama","No",55
"95",10066,1,"No","01","Alabama","No",98
"96",10067,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"97",10067,2,"No","01","Alabama","No",55
"98",10067,3,"No","01","Alabama","No",55
"99",10068,1,"No","02","Alabama","No",55
"100",10069,1,"No","01","Alabama","No",45
"101",10069,2,"No","01","Alabama","No",45
"102",10070,1,"No","01","Alabama","No",45
"103",10070,2,"No","01","Alabama","No",45
"104",10071,1,"No","01","Georgia","No",55
"105",10071,2,"No","01","Alabama","No",55
"106",10072,1,"No","01","Alabama","Reported as Unknown",45
"107",10073,1,"No","02","Alabama","No",55
"108",10074,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"109",10074,2,"No","01","Alabama","No",45
"110",10075,1,"No","01","Alabama","No",55
"111",10076,1,"No","01","Alabama","No",45
"112",10076,2,"No","01","Pennsylvania","No",45
"113",10077,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"114",10078,1,"No","01","Alabama","No",25
"115",10079,1,"No","01","Alabama","No",55
"116",10080,1,"No","01","Alabama","No",55
"117",10081,1,"No","01","Alabama","No",15
"118",10081,2,"No","01","Alabama","No",15
"119",10082,1,"No","03","Alabama","No",55
"120",10082,2,"No","02","Alabama","No",55
"121",10083,1,"No","04","Alabama","Yes, Exceeded Speed Limit",55
"122",10084,1,"No","01","Alabama","No",35
"123",10085,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"124",10086,1,"No","02","Alabama","No",35
